"Area","MTU","Biomass - Actual Aggregated [MW]","Energy storage - Actual Aggregated [MW]","Fossil Brown coal/Lignite - Actual Aggregated [MW]","Fossil Coal-derived gas - Actual Aggregated [MW]","Fossil Gas - Actual Aggregated [MW]","Fossil Hard coal - Actual Aggregated [MW]","Fossil Oil - Actual Aggregated [MW]","Fossil Oil shale - Actual Aggregated [MW]","Fossil Peat - Actual Aggregated [MW]","Geothermal - Actual Aggregated [MW]","Hydro Pumped Storage - Actual Aggregated [MW]","Hydro Pumped Storage - Actual Consumption [MW]","Hydro Run-of-river and poundage - Actual Aggregated [MW]","Hydro Water Reservoir - Actual Aggregated [MW]","Marine - Actual Aggregated [MW]","Nuclear - Actual Aggregated [MW]","Other - Actual Aggregated [MW]","Other renewable - Actual Aggregated [MW]","Solar - Actual Aggregated [MW]","Waste - Actual Aggregated [MW]","Wind Offshore - Actual Aggregated [MW]","Wind Onshore - Actual Aggregated [MW]"
"Sweden (SE)","01.01.2024 00:00 - 01.01.2024 01:00 (CET/CEST)","n/e","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","5492","n/e","6292","799","n/e","0","n/e","n/e","4647"
"Sweden (SE)","01.01.2024 01:00 - 01.01.2024 02:00 (CET/CEST)","n/e","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","5303","n/e","6292","810","n/e","0","n/e","n/e","4570"
"Sweden (SE)","01.01.2024 02:00 - 01.01.2024 03:00 (CET/CEST)","n/e","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","5249","n/e","6293","815","n/e","0","n/e","n/e","4571"
"Sweden (SE)","01.01.2024 03:00 - 01.01.2024 04:00 (CET/CEST)","n/e","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","5141","n/e","6293","822","n/e","0","n/e","n/e","4579"
"Sweden (SE)","01.01.2024 04:00 - 01.01.2024 05:00 (CET/CEST)","n/e","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","5128","n/e","6295","821","n/e","0","n/e","n/e","4584"
"Sweden (SE)","01.01.2024 05:00 - 01.01.2024 06:00 (CET/CEST)","n/e","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","5069","n/e","6295","849","n/e","0","n/e","n/e","4552"
"Sweden (SE)","01.01.2024 06:00 - 01.01.2024 07:00 (CET/CEST)","n/e","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","5212","n/e","6295","911","n/e","0","n/e","n/e","4573"
"Sweden (SE)","01.01.2024 07:00 - 01.01.2024 08:00 (CET/CEST)","n/e","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","5496","n/e","6295","929","n/e","0","n/e","n/e","4557"
"Sweden (SE)","01.01.2024 08:00 - 01.01.2024 09:00 (CET/CEST)","n/e","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","5898","n/e","6294","973","n/e","1","n/e","n/e","4527"
"Sweden (SE)","01.01.2024 09:00 - 01.01.2024 10:00 (CET/CEST)","n/e","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","6267","n/e","6293","1024","n/e","1","n/e","n/e","4512"
"Sweden (SE)","01.01.2024 10:00 - 01.01.2024 11:00 (CET/CEST)","n/e","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","7174","n/e","6295","1061","n/e","4","n/e","n/e","4530"
"Sweden (SE)","01.01.2024 11:00 - 01.01.2024 12:00 (CET/CEST)","n/e","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","8025","n/e","6295","1047","n/e","6","n/e","n/e","4466"
"Sweden (SE)","01.01.2024 12:00 - 01.01.2024 13:00 (CET/CEST)","n/e","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","8302","n/e","6294","1082","n/e","6","n/e","n/e","4399"
"Sweden (SE)","01.01.2024 13:00 - 01.01.2024 14:00 (CET/CEST)","n/e","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","8764","n/e","6294","1074","n/e","5","n/e","n/e","4417"
"Sweden (SE)","01.01.2024 14:00 - 01.01.2024 15:00 (CET/CEST)","n/e","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","9354","n/e","6294","1096","n/e","2","n/e","n/e","4394"
"Sweden (SE)","01.01.2024 15:00 - 01.01.2024 16:00 (CET/CEST)","n/e","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","10124","n/e","6294","1114","n/e","0","n/e","n/e","4428"
"Sweden (SE)","01.01.2024 16:00 - 01.01.2024 17:00 (CET/CEST)","n/e","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","10508","n/e","6294","1112","n/e","0","n/e","n/e","4480"
"Sweden (SE)","01.01.2024 17:00 - 01.01.2024 18:00 (CET/CEST)","n/e","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","10561","n/e","6294","1119","n/e","0","n/e","n/e","4558"
"Sweden (SE)","01.01.2024 18:00 - 01.01.2024 19:00 (CET/CEST)","n/e","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","10511","n/e","6294","1111","n/e","0","n/e","n/e","4584"
"Sweden (SE)","01.01.2024 19:00 - 01.01.2024 20:00 (CET/CEST)","n/e","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","10401","n/e","6294","1122","n/e","0","n/e","n/e","4582"
