SEK_per_kWh,EUR_per_kWh,EXR,time_start,time_end,date
0.37995,0.03491,10.883706,2022-11-01T00:00:00+01:00,2022-11-01T01:00:00+01:00,2022-11-01
0.37995,0.03491,10.883706,2022-11-01T01:00:00+01:00,2022-11-01T02:00:00+01:00,2022-11-01
0.3843,0.03531,10.883706,2022-11-01T02:00:00+01:00,2022-11-01T03:00:00+01:00,2022-11-01
0.39301,0.03611,10.883706,2022-11-01T03:00:00+01:00,2022-11-01T04:00:00+01:00,2022-11-01
0.41173,0.03783,10.883706,2022-11-01T04:00:00+01:00,2022-11-01T05:00:00+01:00,2022-11-01
0.53134,0.04882,10.883706,2022-11-01T05:00:00+01:00,2022-11-01T06:00:00+01:00,2022-11-01
0.65248,0.05995,10.883706,2022-11-01T06:00:00+01:00,2022-11-01T07:00:00+01:00,2022-11-01
0.84882,0.07799,10.883706,2022-11-01T07:00:00+01:00,2022-11-01T08:00:00+01:00,2022-11-01
0.91858,0.0844,10.883706,2022-11-01T08:00:00+01:00,2022-11-01T09:00:00+01:00,2022-11-01
0.73628,0.06765,10.883706,2022-11-01T09:00:00+01:00,2022-11-01T10:00:00+01:00,2022-11-01
0.62233,0.05718,10.883706,2022-11-01T10:00:00+01:00,2022-11-01T11:00:00+01:00,2022-11-01
0.53232,0.04891,10.883706,2022-11-01T11:00:00+01:00,2022-11-01T12:00:00+01:00,2022-11-01
0.42272,0.03884,10.883706,2022-11-01T12:00:00+01:00,2022-11-01T13:00:00+01:00,2022-11-01
0.44884,0.04124,10.883706,2022-11-01T13:00:00+01:00,2022-11-01T14:00:00+01:00,2022-11-01
0.74978,0.06889,10.883706,2022-11-01T14:00:00+01:00,2022-11-01T15:00:00+01:00,2022-11-01
0.8707,0.08,10.883706,2022-11-01T15:00:00+01:00,2022-11-01T16:00:00+01:00,2022-11-01
0.94949,0.08724,10.883706,2022-11-01T16:00:00+01:00,2022-11-01T17:00:00+01:00,2022-11-01
1.21625,0.11175,10.883706,2022-11-01T17:00:00+01:00,2022-11-01T18:00:00+01:00,2022-11-01
1.32487,0.12173,10.883706,2022-11-01T18:00:00+01:00,2022-11-01T19:00:00+01:00,2022-11-01
1.08434,0.09963,10.883706,2022-11-01T19:00:00+01:00,2022-11-01T20:00:00+01:00,2022-11-01
0.89431,0.08217,10.883706,2022-11-01T20:00:00+01:00,2022-11-01T21:00:00+01:00,2022-11-01
0.38093,0.035,10.883706,2022-11-01T21:00:00+01:00,2022-11-01T22:00:00+01:00,2022-11-01
0.3412,0.03135,10.883706,2022-11-01T22:00:00+01:00,2022-11-01T23:00:00+01:00,2022-11-01
0.26241,0.02411,10.883706,2022-11-01T23:00:00+01:00,2022-11-02T00:00:00+01:00,2022-11-01
0.28588,0.02619,10.915532,2022-11-02T00:00:00+01:00,2022-11-02T01:00:00+01:00,2022-11-02
0.25935,0.02376,10.915532,2022-11-02T01:00:00+01:00,2022-11-02T02:00:00+01:00,2022-11-02
0.18971,0.01738,10.915532,2022-11-02T02:00:00+01:00,2022-11-02T03:00:00+01:00,2022-11-02
0.17094,0.01566,10.915532,2022-11-02T03:00:00+01:00,2022-11-02T04:00:00+01:00,2022-11-02
0.22049,0.0202,10.915532,2022-11-02T04:00:00+01:00,2022-11-02T05:00:00+01:00,2022-11-02
0.31972,0.02929,10.915532,2022-11-02T05:00:00+01:00,2022-11-02T06:00:00+01:00,2022-11-02
0.38095,0.0349,10.915532,2022-11-02T06:00:00+01:00,2022-11-02T07:00:00+01:00,2022-11-02
0.43269,0.03964,10.915532,2022-11-02T07:00:00+01:00,2022-11-02T08:00:00+01:00,2022-11-02
0.57721,0.05288,10.915532,2022-11-02T08:00:00+01:00,2022-11-02T09:00:00+01:00,2022-11-02
0.7631,0.06991,10.915532,2022-11-02T09:00:00+01:00,2022-11-02T10:00:00+01:00,2022-11-02
0.50157,0.04595,10.915532,2022-11-02T10:00:00+01:00,2022-11-02T11:00:00+01:00,2022-11-02
0.46478,0.04258,10.915532,2022-11-02T11:00:00+01:00,2022-11-02T12:00:00+01:00,2022-11-02
0.43597,0.03994,10.915532,2022-11-02T12:00:00+01:00,2022-11-02T13:00:00+01:00,2022-11-02
0.56106,0.0514,10.915532,2022-11-02T13:00:00+01:00,2022-11-02T14:00:00+01:00,2022-11-02
